,Metric1,Metric2,R,P
0,MINORPCT,MINORPCT,0.9999999999999998,0.0
1,MINORPCT,LOWINCPCT,0.6918984348585029,3.019999581085205e-83
2,MINORPCT,LESSHSPCT,0.7558258293868436,1.2003298770207389e-107
3,MINORPCT,OVER64PCT,-0.5428922405154997,1.834203409371906e-45
4,MINORPCT,VULEOPCT,0.9259205034266972,7.08168588598674e-245
5,MINORPCT,Tmax_day,0.564358813532085,9.412038118592077e-50
6,MINORPCT,lst_july,0.4610954433048302,1.154548055190328e-31
8,MINORPCT,Res_Parcel,-0.3165697923011566,7.127264942457293e-15
10,MINORPCT,Res_Size,-0.4035926173853881,5.644065741355378e-24
14,MINORPCT,Cnt_Dens,0.14064981334464177,0.0007115126366580868
15,MINORPCT,HU_Den,0.26855127037369436,5.67851600239206e-11
16,MINORPCT,Res_Age,0.4090886492834593,1.1995265422048686e-24
17,MINORPCT,Com_Age,0.34307500602573804,2.3617478187829835e-17
18,LOWINCPCT,MINORPCT,0.6918984348585029,3.019999581085205e-83
19,LOWINCPCT,LOWINCPCT,1.0,0.0
20,LOWINCPCT,LESSHSPCT,0.6617721118585265,7.722123925641425e-74
21,LOWINCPCT,OVER64PCT,-0.33619638284300735,1.0967729315604252e-16
22,LOWINCPCT,VULEOPCT,0.9133537149252194,3.7237615138174205e-226
23,LOWINCPCT,Tmax_day,0.5305914095111525,3.849362187117034e-43
24,LOWINCPCT,lst_july,0.4376782006141186,2.3582536334685858e-28
26,LOWINCPCT,Res_Parcel,-0.45220001421831746,2.2396750320013608e-30
28,LOWINCPCT,Res_Size,-0.4588119605514213,2.492360941002497e-31
33,LOWINCPCT,HU_Den,0.36322927416275064,2.0975343746881779e-19
34,LOWINCPCT,Res_Age,0.5310246527561273,3.2005292204355498e-43
35,LOWINCPCT,Com_Age,0.4495106808412107,5.396442765927748e-30
36,LESSHSPCT,MINORPCT,0.7558258293868436,1.2003298770207389e-107
37,LESSHSPCT,LOWINCPCT,0.6617721118585265,7.722123925641425e-74
38,LESSHSPCT,LESSHSPCT,1.0,0.0
39,LESSHSPCT,OVER64PCT,-0.3316864529046996,2.9401697786954233e-16
40,LESSHSPCT,VULEOPCT,0.7724582719796255,2.829771216782133e-115
41,LESSHSPCT,Tmax_day,0.6016055593536309,5.4830233948666895e-58
42,LESSHSPCT,lst_july,0.4904231613749445,3.4546619581810426e-36
44,LESSHSPCT,Res_Parcel,-0.4396700391114827,1.261628308650764e-28
46,LESSHSPCT,Res_Size,-0.3630287228366146,2.2021905493305363e-19
48,LESSHSPCT,Com_Value,-0.16261839675104636,8.836946492217363e-05
49,LESSHSPCT,Com_Size,-0.0879922245612722,0.03474459805996685
